stop,lat,lon,routes,trips
Acharya Institute of Technology Chikkabanavara,13.08348536,77.48420857,8,65
Achyutha Nagara Gate Chikkabanavara,13.08424692,77.48644419,2,9
Adakimaranahalli,13.07011249,77.44585432,152,891
Adarshanagara Arishinakunte,13.07620660,77.42370933,3,4
Adde Vishwanathapura,13.18668225,77.55106866,1,10
Addiganahalli,13.17291279,77.56958865,33,108
Adithi School Yelahanka,13.10240691,77.58297287,17,42
Adithyanagara MS Palya,13.08597318,77.55071461,2,2
Agarawal EYE Hospital Yelahanka,13.09441256,77.58061185,5,20
Agraharapalya Gate Thotagere,13.13074570,77.45348185,1,9
Allalasandra Yelahanka,13.08737154,77.59556718,5,31
Aluru Makali,13.08490176,77.46560622,0,0
Amba Bhavaninagara Shyamarajapura,13.09712462,77.54599124,0,0
Amritha Ayurvedic Hospital,13.12485154,77.54721480,3,4
Ananthapura Gate Yelahanka,13.11470440,77.57867396,4,37
Anchepalya Tumkur Road,13.05526591,77.47981620,27,157
Aradeshanahalli Gate,13.21650657,77.55254879,41,377
Arakere Byrapura,13.20015497,77.53796299,3,19
Arathipalya,13.03723832,77.42592685,3,18
Arishinakunte,13.07975220,77.42398115,149,950
Atturu Layout Yelahanka,13.09790705,77.56750390,39,260
Avalahalli Rajanukunte,13.13520502,77.56920107,13,25
Averahalli Ravuttanahalli,13.03343105,77.42183983,5,34
Bagalur Cross DVH Road,13.12186064,77.61135255,28,265
Baleveeranahalli,13.01860386,77.39393994,2,9
Bayandahalli,13.00607900,77.44215424,23,112
Bayandahalli Colony,13.00336388,77.44227730,23,112
BEL Layout Marappanapalya,13.09139040,77.42346675,1,2
Bengaluru International Exhibition Centre,13.05667796,77.47472317,27,157
Best County MS Palya,13.08934858,77.54470378,2,8
Bethan Madhure Temple,13.19008699,77.48136999,3,17
Bettahalli Layout Yelahanka,13.09247554,77.55948592,40,261
Bettahalli Vaddarahalli,13.00812437,77.43479796,14,85
Bettanagere Nelamangala,13.11460338,77.41066709,2,2
BGS College Thotagere,13.14426348,77.45147556,6,53
Bhakthanapalya Nelamangala,13.10129273,77.41078041,0,0
BIES Kuduregere,13.06248518,77.46973872,1,40
Bilijaji,13.12643312,77.47343748,1,13
Biscuit Factoy Makali,13.08197350,77.44979202,27,131
B Krishnappa Nagara,12.99714400,77.40871578,1,2
BMS College Campus Yelahanka,13.13442608,77.56904215,3,4
BMSIT College Campous Yelahanka,13.13331857,77.56756157,11,18
BMTC Training Centre Vaddarahalli,13.01986316,77.44832990,11,44
Bommashettyhalli Cross Mattahalli,13.12585714,77.41666049,0,0
Bommashettyhalli Nelamangala,13.13079664,77.41895445,2,12
Brundavana Kammasandra,13.02389687,77.44933284,2,1
BSF Yelahanka,13.12911967,77.60492072,3,14
Budumanahalli,13.19091769,77.52797828,1,10
Byatha Madhure Temple,13.19304623,77.48454482,5,37
Bylakonenahalli,13.01614463,77.45644142,2,12
Byrapura Village Arakere,13.20105021,77.52296381,0,0
Byraveshwara Layout Bagalagunte,13.06535271,77.49479659,9,104
Byregowdanahalli,13.06438794,77.39372157,21,164
